fct_name,column_name,id_to_exclude,comment
fct_undocumented_models,model_type,staging,removing necessity to document staging models
fct_undocumented_models,model_type,intermediate,removing necessity to document intermediate models
fct_root_models,child,stg_dummy,exclude model meant for snapshot testing
fct_direct_join_to_source,child,stg_trust_lines,exclude
fct_direct_join_to_source,child,stg_history_trades,exclude
fct_direct_join_to_source,child,stg_claimable_balances,exclude
fct_direct_join_to_source,child,stg_liquidity_pools,exclude
fct_direct_join_to_source,child,stg_offers,exclude
fct_staging_dependent_on_staging,parent,stg_assets,exclude
fct_staging_dependent_on_staging,parent,stg_token_transfers_raw,exclude
